timestamp, x, y, z, lx, ly, lz
1400373584943, 9.922769, 0.009576807, -2.1428106, 0.7457938, -1.4055461, -0.24181437
1400373584962, 8.258799, -0.7086837, -1.9057846, 0.83901805, -1.6554408, -0.4652233
1400373584983, 6.3985043, -0.7254431, -1.6891093, 0.69686234, -3.2635963, -0.012419921
1400373585003, 3.3734303, -0.7194576, -1.1599907, 0.624737, -6.2826843, 0.5484218
1400373585021, 3.3734303, -0.7194576, -1.1599907, 0.624737, -6.2826843, 0.5484218
1400373585039, 1.0127473, -0.7697359, -0.8523358, 0.6120178, -8.637083, 0.8867524
1400373585059, 0.038307227, -0.48961425, -0.47285482, 0.3043629, -9.6088295, 1.2786534
1400373585077, 0.2837129, 0.4369418, -0.88944596, -0.59465986, -9.361329, 0.8758289
1400373585096, 0.79726917, 0.89782566, -0.40342298, -1.0010756, -8.847922, 1.3649943
1400373585116, -0.12090719, -0.50517654, 1.13964, 0.40656537, -9.767594, 2.9004257
1400373585135, -0.92655605, -0.6572084, 0.94211835, 0.5609914, -10.572645, 2.7064953
1400373585153, 0.7350199, 0.7290344, -0.25977087, -0.76779056, -8.913464, 1.4935329
1400373585173, 2.3223755, -0.1316811, -0.4201824, 0.11492168, -7.331345, 1.304391
1400373585193, 2.5198972, -0.11133038, -0.45370123, 0.09531915, -7.1372647, 1.2515689
1400373585212, 3.7852328, 0.50637364, -1.9452889, -0.50233346, -5.8723783, -0.24226329
1400373585230, 7.8386164, 0.5494693, -4.177882, -0.50876784, -1.8148049, -2.4521115
1400373585250, 15.053543, -0.25258827, -6.779182, 0.3354875, 5.4155345, -4.9703627
1400373585269, 15.213955, 1.7154455, -3.1268275, -1.5530887, 5.585972, -1.2708722
1400373585288, 7.394492, -1.6184803, -2.6024973, 1.6018705, -2.2147863, -0.6450877
1400373585307, 5.9878983, -0.6703765, -2.348712, 0.57760113, -3.614197, -0.35868135
1400373585327, 10.79785, -0.33638534, -2.0901382, 0.2908955, 1.1815386, -0.16864158
1400373585346, 10.200497, -0.10654198, -1.7298107, 0.090381116, 0.57610476, 0.1515829
1400373585365, 7.466318, -0.2873042, -1.934515, 0.25887305, -2.1564276, -0.044741645
1400373585385, 8.289924, -0.25019407, -2.136825, 0.23867199, -1.3364135, -0.2650082
1400373585404, 9.269152, 0.019153614, -2.5498247, 0.0032920274, -0.36062664, -0.6964134
1400373585424, 9.275137, 0.11492168, -2.8383262, -0.07317279, -0.35254622, -0.9744401
